POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1231.4 1.5 13.8 1.0 12.9 1.3 325 28 1221.6 2.0 610.8 1.0 2.68 0.21 -0.0000 0.0009 0.0 0.0 43 18 15 4 15 4
1182.7 1.6 13.8 1.0 14.1 1.3 356 27 1173.0 2.2 586.5 1.1 2.68 0.21 -0.0000 0.0009 0.0 0.0 43 18 15 4 15 4
1142.7 1.9 13.8 1.0 7.1 0.9 180 21 1133 3 566.5 1.3 2.68 0.21 -0.0000 0.0009 0.0 0.0 43 18 15 4 15 4
1103.9 1.5 13.7 1.0 21.4 1.8 538 35 1094.1 2.1 547.1 1.1 2.68 0.21 -0.0000 0.0009 0.0 0.0 43 18 15 4 15 4
1068.5 2.2 13.7 1.0 5.5 1.0 139 24 1059 3 529.4 1.5 2.68 0.21 -0.0000 0.0009 0.0 0.0 43 18 15 4 15 4
1044 4 13.7 1.0 2.1 0.7 54 18 1035 4 517.4 2.1 2.68 0.21 -0.0000 0.0009 0.0 0.0 43 18 15 4 15 4
956.6 1.6 13.7 1.0 9.3 1.1 234 26 946.8 2.1 473.4 1.1 2.68 0.21 -0.0000 0.0009 0.0 0.0 43 18 15 4 15 4
907.9 1.7 13.6 1.0 8.1 0.9 202 22 898.1 2.3 449.1 1.2 2.68 0.21 -0.0000 0.0009 0.0 0.0 43 18 15 4 15 4
843.4 1.8 13.6 1.0 6.5 0.9 163 23 833.6 2.3 416.8 1.2 2.68 0.21 -0.0000 0.0009 0.0 0.0 43 18 15 4 15 4
776.6 1.8 13.6 1.0 5.9 1.0 147 23 766.8 2.4 383.4 1.2 2.68 0.21 -0.0000 0.0009 0.0 0.0 43 18 15 4 15 4
599.6 1.1 21.4 0.4 8.1 0.8 185 17 599.6 1.1 299.8 0.6 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6419 0.0 1.6419 0.0
564.1 0.7 21.3 0.4 15.8 1.0 360 22 564.1 0.7 282.1 0.3 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6419 0.0 1.6419 0.0
527 3 21.3 0.4 2.6 0.6 59 13 527 3 263.4 1.3 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6419 0.0 1.6419 0.0
486.6 0.8 21.3 0.4 12.9 0.9 293 20 486.6 0.8 243.3 0.4 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6419 0.0 1.6419 0.0
453.4 1.9 21.3 0.4 4.0 0.6 91 14 453.4 1.9 226.7 1.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6419 0.0 1.6419 0.0
406.5 1.0 21.2 0.4 8.4 0.8 189 18 406.5 1.0 203.3 0.5 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6419 0.0 1.6419 0.0
369.2 0.7 21.2 0.4 15.8 1.0 356 22 369.2 0.7 184.6 0.3 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6419 0.0 1.6419 0.0
338 3 21.2 0.4 2.8 0.6 64 14 338 3 169.0 1.3 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6419 0.0 1.6419 0.0
281.1 0.6 21.2 0.4 15.7 1.0 354 22 281.1 0.6 140.6 0.3 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6419 0.0 1.6419 0.0
