POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1867.86 0.08 10.18 0.07 631 8 8843 96 1863.96 0.09 931.98 0.05 1.63 0.07 0.0002 0.0003 0.0 0.0 17.6 0.8 10.76 0.24 10.76 0.24
1706.9 0.5 10.10 0.07 12.7 1.1 177 16 1702.9 0.5 851.5 0.3 1.63 0.07 0.0002 0.0003 0.0 0.0 17.6 0.8 10.76 0.24 10.76 0.24
1669.54 0.08 10.09 0.07 866 10 12044 113 1665.62 0.09 832.81 0.04 1.63 0.07 0.0002 0.0003 0.0 0.0 17.6 0.8 10.76 0.24 10.76 0.24
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1448.92 0.2 9.97 0.07 70.2 2.4 969 33 1444.98 0.2 722.49 0.1 1.63 0.07 0.0002 0.0003 0.0 0.0 17.6 0.8 10.76 0.24 10.76 0.24
1388.2 0.6 9.94 0.07 11.5 1.1 159 15 1384.2 0.6 692.1 0.3 1.63 0.07 0.0002 0.0003 0.0 0.0 17.6 0.8 10.76 0.24 10.76 0.24
1287.8 1.2 9.89 0.07 4.2 0.8 58 11 1283.8 1.2 641.9 0.6 1.63 0.07 0.0002 0.0003 0.0 0.0 17.6 0.8 10.76 0.24 10.76 0.24
1270.08 0.18 9.88 0.07 90 3 1230 39 1266.13 0.19 633.06 0.1 1.63 0.07 0.0002 0.0003 0.0 0.0 17.6 0.8 10.76 0.24 10.76 0.24
1248.37 0.17 9.87 0.07 119 3 1623 44 1244.41 0.18 622.21 0.09 1.63 0.07 0.0002 0.0003 0.0 0.0 17.6 0.8 10.76 0.24 10.76 0.24
1176.09 0.14 9.83 0.07 137 3 1875 46 1172.12 0.15 586.06 0.08 1.63 0.07 0.0002 0.0003 0.0 0.0 17.6 0.8 10.76 0.24 10.76 0.24
1145.01 0.22 9.81 0.07 66.8 2.5 911 34 1141.04 0.23 570.52 0.12 1.63 0.07 0.0002 0.0003 0.0 0.0 17.6 0.8 10.76 0.24 10.76 0.24
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1011.9 0.5 8.15 0.2 14.7 1.4 185 17 1008.0 0.5 504.0 0.3 1.56 0.1 0.0015 0.0006 0.0 0.0 33 5 7.3 0.5 7.3 0.5
996.2 0.7 8.14 0.2 10.6 1.3 133 16 992.3 0.7 496.1 0.4 1.56 0.1 0.0015 0.0006 0.0 0.0 33 5 7.3 0.5 7.3 0.5
965.4 0.3 8.12 0.2 219 6 2755 57 961.45 0.21 480.73 0.11 1.56 0.1 0.0015 0.0006 0.0 0.0 33 5 7.3 0.5 7.3 0.5
933.7 0.4 8.10 0.2 34.6 2.1 434 27 929.8 0.4 464.90 0.21 1.56 0.1 0.0015 0.0006 0.0 0.0 33 5 7.3 0.5 7.3 0.5
918.2 1.9 8.09 0.2 3.5 1.2 44 14 914.3 2.0 457.1 1.0 1.56 0.1 0.0015 0.0006 0.0 0.0 33 5 7.3 0.5 7.3 0.5
887.0 1.9 8.08 0.2 2.0 0.7 25 8 883.0 1.9 441.5 0.9 1.56 0.1 0.0015 0.0006 0.0 0.0 33 5 7.3 0.5 7.3 0.5
825.9 0.3 8.04 0.2 47.6 2.3 594 26 822.0 0.3 410.98 0.14 1.56 0.1 0.0015 0.0006 0.0 0.0 33 5 7.3 0.5 7.3 0.5
776.7 0.3 8.01 0.2 40.5 2.1 505 24 772.7 0.3 386.37 0.15 1.56 0.1 0.0015 0.0006 0.0 0.0 33 5 7.3 0.5 7.3 0.5
725.1 0.7 7.98 0.2 8.4 1.0 104 12 721.2 0.6 360.6 0.3 1.56 0.1 0.0015 0.0006 0.0 0.0 33 5 7.3 0.5 7.3 0.5
669.2 1.1 9.79 0.23 3.4 0.7 45 9 666.2 1.1 333.1 0.5 1.60 0.1 -0.0030 0.0004 0.0 0.0 18 4 8.8 1.3 8.8 1.3
598.3 1.7 9.75 0.23 1.8 0.5 23 7 595.2 1.8 297.6 0.9 1.60 0.1 -0.0030 0.0004 0.0 0.0 18 4 8.8 1.3 8.8 1.3
569.7 0.7 9.73 0.23 8.2 1.0 106 12 566.7 0.7 283.3 0.4 1.60 0.1 -0.0030 0.0004 0.0 0.0 18 4 8.8 1.3 8.8 1.3
552.3 1.5 9.72 0.23 2.8 0.7 37 9 549.2 1.6 274.6 0.8 1.60 0.1 -0.0030 0.0004 0.0 0.0 18 4 8.8 1.3 8.8 1.3
484.8 0.6 9.68 0.23 13.8 1.5 178 19 481.7 0.7 240.9 0.3 1.60 0.1 -0.0030 0.0004 0.0 0.0 18 4 8.8 1.3 8.8 1.3
471.8 0.4 9.67 0.23 33.5 2.1 433 26 468.8 0.5 234.39 0.23 1.60 0.1 -0.0030 0.0004 0.0 0.0 18 4 8.8 1.3 8.8 1.3
446.2 0.7 9.66 0.23 9.3 1.1 119 14 443.1 0.8 221.6 0.4 1.60 0.1 -0.0030 0.0004 0.0 0.0 18 4 8.8 1.3 8.8 1.3
414.4 0.6 9.64 0.23 11.2 1.1 144 14 411.3 0.6 205.6 0.3 1.60 0.1 -0.0030 0.0004 0.0 0.0 18 4 8.8 1.3 8.8 1.3
317.3 0.4 9.58 0.23 34.0 1.9 435 24 314.2 0.4 157.11 0.21 1.60 0.1 -0.0030 0.0004 0.0 0.0 18 4 8.8 1.3 8.8 1.3
293.0 0.8 9.56 0.23 9.1 1.2 117 15 289.9 0.9 145.0 0.4 1.60 0.1 -0.0030 0.0004 0.0 0.0 18 4 8.8 1.3 8.8 1.3
