POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1861.82 0.1 9.36 0.1 361 7 4753 71 1857.28 0.16 928.64 0.08 0.0 0.0 0.0 0.0 0.0 0.0 14.0 0.9 13.0 0.4 13.0 0.4
1704.6 0.7 9.28 0.1 4.6 0.6 60 8 1700.1 0.8 850.0 0.4 0.0 0.0 0.0 0.0 0.0 0.0 14.0 0.9 13.0 0.4 13.0 0.4
1665.66 0.12 9.26 0.1 195 5 2542 51 1661.10 0.18 830.55 0.09 0.0 0.0 0.0 0.0 0.0 0.0 14.0 0.9 13.0 0.4 13.0 0.4
1445.3 0.3 9.15 0.1 18.8 1.2 243 16 1440.7 0.4 720.34 0.19 0.0 0.0 0.0 0.0 0.0 0.0 14.0 0.9 13.0 0.4 13.0 0.4
1381.7 8 0 0 0 0 32 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1267.6 0.3 9.5 0.3 53 3 734 32 1262.7 0.6 631.3 0.3 0.0 0.0 0.0 0.0 0.0 0.0 16 4 12.8 1.6 12.8 1.6
1245.3 0.4 9.5 0.3 24.8 1.9 343 23 1240.4 0.6 620.2 0.3 0.0 0.0 0.0 0.0 0.0 0.0 16 4 12.8 1.6 12.8 1.6
1174.0 0.5 9.5 0.3 12.2 1.1 168 14 1169.1 0.7 584.5 0.4 0.0 0.0 0.0 0.0 0.0 0.0 16 4 12.8 1.6 12.8 1.6
1143.7 0.4 9.5 0.3 19.5 1.4 268 17 1138.8 0.6 569.4 0.3 0.0 0.0 0.0 0.0 0.0 0.0 16 4 12.8 1.6 12.8 1.6
1009.3 10 0 0 0 0 22 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
994.9 8 0 0 0 0 29 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
964.7 0.5 7.5 0.4 63 4 735 30 960.8 0.5 480.40 0.23 0.69 0.09 0.0 0.0 0.0 0.0 31 10 7.4 1.2 7.4 1.2
935.1 1.4 7.5 0.4 6.1 1.5 71 18 931.2 1.4 465.6 0.7 0.69 0.09 0.0 0.0 0.0 0.0 31 10 7.4 1.2 7.4 1.2
927.4 2.5 7.5 0.4 2.8 1.5 33 17 923.5 2.5 461.7 1.2 0.69 0.09 0.0 0.0 0.0 0.0 31 10 7.4 1.2 7.4 1.2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
825.1 0.6 7.5 0.4 10.8 1.2 127 13 821.2 0.6 410.6 0.3 0.69 0.09 0.0 0.0 0.0 0.0 31 10 7.4 1.2 7.4 1.2
777.1 0.6 7.4 0.4 13.0 1.3 152 14 773.2 0.6 386.6 0.3 0.69 0.09 0.0 0.0 0.0 0.0 31 10 7.4 1.2 7.4 1.2
714.0 1.5 7.4 0.4 2.1 0.6 25 7 710.1 1.6 355.0 0.8 0.69 0.09 0.0 0.0 0.0 0.0 31 10 7.4 1.2 7.4 1.2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
484.7 1.0 8.3 0.7 7.3 0.9 103 12 479.8 0.9 239.9 0.5 1.18 0.1 0.0 0.0 0.0 0.0 44 13 7.40 0.0 7.40 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
449.3 1.5 8.3 0.7 2.8 0.6 40 9 444.5 1.5 222.2 0.8 1.18 0.1 0.0 0.0 0.0 0.0 44 13 7.40 0.0 7.40 0.0
422.8 1.9 8.3 0.7 2.0 0.6 28 8 418.0 1.9 209.0 1.0 1.18 0.1 0.0 0.0 0.0 0.0 44 13 7.40 0.0 7.40 0.0
320.8 0.9 8.2 0.7 14.8 1.5 208 17 315.9 0.8 158.0 0.4 1.18 0.1 0.0 0.0 0.0 0.0 44 13 7.40 0.0 7.40 0.0
280.7 0.9 8.2 0.7 11.1 1.2 156 15 275.9 0.9 138.0 0.4 1.18 0.1 0.0 0.0 0.0 0.0 44 13 7.40 0.0 7.40 0.0
258.5 0.9 8.2 0.7 13.2 1.4 185 16 253.7 0.9 126.8 0.4 1.18 0.1 0.0 0.0 0.0 0.0 44 13 7.40 0.0 7.40 0.0
209.5 1.2 8.1 0.7 4.4 0.8 61 10 204.7 1.2 102.3 0.6 1.18 0.1 0.0 0.0 0.0 0.0 44 13 7.40 0.0 7.40 0.0
188.7 1.7 8.1 0.7 2.9 0.8 41 12 183.9 1.9 91.9 1.0 1.18 0.1 0.0 0.0 0.0 0.0 44 13 7.40 0.0 7.40 0.0
176.4 0.9 8.1 0.7 12.4 1.5 173 17 171.6 0.9 85.8 0.5 1.18 0.1 0.0 0.0 0.0 0.0 44 13 7.40 0.0 7.40 0.0
50.2 0.4 5.0 0.6 21.1 2.0 232 17 44.8 0.4 22.39 0.18 1.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 7.40 0.0 7.40 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
