POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1851.6 1.2 10.7 0.6 26 3 562 31 1843.8 1.0 921.9 0.5 3.9 0.3 -0.018 0.004 0.0 0.0 62 19 9.8 0.4 9.8 0.4
1794.89 0.19 12.80 0.15 210 4 4156 69 1787.99 0.24 893.99 0.12 1.57 0.16 0.0093 0.0007 0.0 0.0 26.1 1.7 14.0 0.5 14.0 0.5
1636.9 0.3 12.72 0.15 58.4 1.9 1151 37 1630.0 0.3 814.98 0.16 1.57 0.16 0.0093 0.0007 0.0 0.0 26.1 1.7 14.0 0.5 14.0 0.5
1570.5 0.5 12.68 0.15 17.9 1.1 353 23 1563.6 0.6 781.8 0.3 1.57 0.16 0.0093 0.0007 0.0 0.0 26.1 1.7 14.0 0.5 14.0 0.5
1499.1 0.3 12.65 0.15 50.1 1.8 984 35 1492.1 0.3 746.07 0.17 1.57 0.16 0.0093 0.0007 0.0 0.0 26.1 1.7 14.0 0.5 14.0 0.5
1456.8 2.3 12.63 0.15 2.6 0.7 50 13 1449.9 2.3 725.0 1.2 1.57 0.16 0.0093 0.0007 0.0 0.0 26.1 1.7 14.0 0.5 14.0 0.5
1415.0 0.6 12.60 0.15 13.7 1.1 269 21 1408.1 0.6 704.0 0.3 1.57 0.16 0.0093 0.0007 0.0 0.0 26.1 1.7 14.0 0.5 14.0 0.5
1394.0 0.6 12.60 0.15 16.9 1.2 331 24 1387.1 0.6 693.5 0.3 1.57 0.16 0.0093 0.0007 0.0 0.0 26.1 1.7 14.0 0.5 14.0 0.5
1362.0 1.4 12.58 0.15 3.8 0.7 74 13 1355.1 1.5 677.5 0.7 1.57 0.16 0.0093 0.0007 0.0 0.0 26.1 1.7 14.0 0.5 14.0 0.5
1328.3 0.9 12.56 0.15 5.6 0.7 110 14 1321.4 0.9 660.7 0.4 1.57 0.16 0.0093 0.0007 0.0 0.0 26.1 1.7 14.0 0.5 14.0 0.5
1295.79 0.18 12.54 0.15 316 5 6182 83 1288.83 0.22 644.42 0.11 1.57 0.16 0.0093 0.0007 0.0 0.0 26.1 1.7 14.0 0.5 14.0 0.5
1125.0 1.5 27.7 0.6 11.5 1.3 397 44 1119.8 1.5 559.9 0.8 0.0 0.0 0.0 0.0 0.0 0.0 26.10 0.0 14.0 0.0 14.0 0.0
1101 4 27.7 0.6 5.5 1.2 189 40 1095 4 547.7 1.8 0.0 0.0 0.0 0.0 0.0 0.0 26.10 0.0 14.0 0.0 14.0 0.0
1058.8 1.2 27.7 0.6 11.6 0.8 402 25 1053.6 1.2 526.8 0.6 0.0 0.0 0.0 0.0 0.0 0.0 26.10 0.0 14.0 0.0 14.0 0.0
1019.3 0.9 27.7 0.6 16.7 0.9 578 29 1014.1 0.9 507.0 0.4 0.0 0.0 0.0 0.0 0.0 0.0 26.10 0.0 14.0 0.0 14.0 0.0
973.3 1.0 27.6 0.6 10.5 0.7 363 22 968.2 1.0 484.1 0.5 0.0 0.0 0.0 0.0 0.0 0.0 26.10 0.0 14.0 0.0 14.0 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
900.9 0.7 27.6 0.6 25.0 1.1 862 36 895.7 0.7 447.9 0.3 0.0 0.0 0.0 0.0 0.0 0.0 26.10 0.0 14.0 0.0 14.0 0.0
863 6 27.6 0.6 5.4 1.9 187 67 858 6 429 3 0.0 0.0 0.0 0.0 0.0 0.0 26.10 0.0 14.0 0.0 14.0 0.0
843 5 27.6 0.6 5.1 2.1 176 72 838 5 419 3 0.0 0.0 0.0 0.0 0.0 0.0 26.10 0.0 14.0 0.0 14.0 0.0
800.3 1.1 27.5 0.6 8.3 0.6 285 19 795.1 1.1 397.6 0.6 0.0 0.0 0.0 0.0 0.0 0.0 26.10 0.0 14.0 0.0 14.0 0.0
661.7 1.0 12.1 0.4 7.8 1.0 131 18 657.3 1.2 328.6 0.6 2.2 0.3 0.0 0.0 0.0 0.0 24 11 11 3 11 3
638.6 0.8 12.1 0.4 12.5 1.2 211 21 634.2 1.1 317.1 0.5 2.2 0.3 0.0 0.0 0.0 0.0 24 11 11 3 11 3
582.4 0.7 12.0 0.4 36.2 2.0 610 33 578.0 0.9 289.0 0.5 2.2 0.3 0.0 0.0 0.0 0.0 24 11 11 3 11 3
551.5 1.0 12.0 0.4 9.2 1.1 155 19 547.0 1.3 273.5 0.7 2.2 0.3 0.0 0.0 0.0 0.0 24 11 11 3 11 3
520.0 0.7 12.0 0.4 44 3 744 50 515.6 0.9 257.8 0.5 2.2 0.3 0.0 0.0 0.0 0.0 24 11 11 3 11 3
507.4 0.8 12.0 0.4 32 3 545 49 503.0 0.9 251.5 0.5 2.2 0.3 0.0 0.0 0.0 0.0 24 11 11 3 11 3
478.4 1.3 12.0 0.4 7.2 1.3 121 23 473.9 1.6 237.0 0.8 2.2 0.3 0.0 0.0 0.0 0.0 24 11 11 3 11 3
454.6 0.6 12.0 0.4 47.8 2.5 801 44 450.2 0.9 225.1 0.5 2.2 0.3 0.0 0.0 0.0 0.0 24 11 11 3 11 3
439.0 0.6 11.9 0.4 42 3 701 41 434.6 0.8 217.3 0.4 2.2 0.3 0.0 0.0 0.0 0.0 24 11 11 3 11 3
385.5 2.3 11.8 1.5 6.5 2.4 162 19 378 3 189.1 1.3 4.02 0.23 0.0 0.0 0.0 0.0 159 102 5.7 1.1 5.7 1.1
361 3 11.8 1.5 6 3 155 39 353 3 176.6 1.5 4.02 0.23 0.0 0.0 0.0 0.0 159 102 5.7 1.1 5.7 1.1
350 3 11.8 1.5 5 3 135 39 343 3 171.3 1.6 4.02 0.23 0.0 0.0 0.0 0.0 159 102 5.7 1.1 5.7 1.1
