POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1091.6 0.3 9.34 0.17 34.6 2.1 344 20 1091.6 0.3 545.81 0.13 1.35 0.2 -0.005 0.003 0.0 0.0 0.0 0.0 1.8095 0.0 1.8095 0.0
1078.6 1.3 9.33 0.17 3.6 0.9 36 9 1078.6 1.3 539.3 0.7 1.35 0.2 -0.005 0.003 0.0 0.0 0.0 0.0 1.8095 0.0 1.8095 0.0
1041.7 0.3 9.31 0.17 34.9 2.2 346 21 1041.7 0.3 520.83 0.15 1.35 0.2 -0.005 0.003 0.0 0.0 0.0 0.0 1.8095 0.0 1.8095 0.0
1030.8 1.1 9.31 0.17 5.8 1.3 57 12 1030.8 1.1 515.4 0.6 1.35 0.2 -0.005 0.003 0.0 0.0 0.0 0.0 1.8095 0.0 1.8095 0.0
1005.11 0.18 9.29 0.17 114 4 1124 42 1005.11 0.18 502.55 0.09 1.35 0.2 -0.005 0.003 0.0 0.0 0.0 0.0 1.8095 0.0 1.8095 0.0
995.6 0.8 9.29 0.17 18 3 181 29 995.6 0.8 497.8 0.4 1.35 0.2 -0.005 0.003 0.0 0.0 0.0 0.0 1.8095 0.0 1.8095 0.0
980.3 0.3 9.28 0.17 33.5 2.2 331 21 980.3 0.3 490.17 0.15 1.35 0.2 -0.005 0.003 0.0 0.0 0.0 0.0 1.8095 0.0 1.8095 0.0
968.3 1.2 9.27 0.17 5.0 1.1 49 11 968.3 1.2 484.1 0.6 1.35 0.2 -0.005 0.003 0.0 0.0 0.0 0.0 1.8095 0.0 1.8095 0.0
945 7 8.6 0.6 0.5 0.7 5 7 945 7 473 4 1.5 0.3 0.0 0.0 0.0 0.0 0.0 0.0 1.7814 0.0 1.7814 0.0
935.6 1.6 8.6 0.6 2.6 0.9 24 9 935.6 1.6 467.8 0.8 1.5 0.3 0.0 0.0 0.0 0.0 0.0 0.0 1.7814 0.0 1.7814 0.0
914.3 0.4 8.6 0.6 13.5 1.7 124 13 914.3 0.4 457.16 0.2 1.5 0.3 0.0 0.0 0.0 0.0 0.0 0.0 1.7814 0.0 1.7814 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
867.7 0.3 10.4 0.3 40.1 2.5 443 23 867.7 0.3 433.84 0.13 1.01 0.24 -0.000 0.008 0.0 0.0 0.0 0.0 1.7615 0.0 1.7615 0.0
852.0 1.0 10.4 0.3 7.7 1.2 85 13 852.0 1.0 426.0 0.5 1.01 0.24 -0.000 0.008 0.0 0.0 0.0 0.0 1.7615 0.0 1.7615 0.0
840 3 10.4 0.3 1.6 0.8 18 9 840 3 420.2 1.6 1.01 0.24 -0.000 0.008 0.0 0.0 0.0 0.0 1.7615 0.0 1.7615 0.0
816.0 0.3 10.8 0.3 22.1 1.6 253 19 816.0 0.3 407.99 0.16 -0.6 0.5 0.017 0.011 0.0 0.0 0.0 0.0 1.7427 0.0 1.7427 0.0
795.3 0.5 10.7 0.3 10.7 1.1 122 14 795.3 0.5 397.66 0.24 -0.6 0.5 0.017 0.011 0.0 0.0 0.0 0.0 1.7427 0.0 1.7427 0.0
775.0 0.3 10.7 0.3 43.2 2.3 494 26 775.0 0.3 387.52 0.13 -0.6 0.5 0.017 0.011 0.0 0.0 0.0 0.0 1.7427 0.0 1.7427 0.0
728.0 0.4 7.6 0.4 14.4 1.7 117 13 728.0 0.4 364.00 0.2 3.3 0.3 -0.026 0.011 0.0 0.0 0.0 0.0 1.7196 0.0 1.7196 0.0
700.3 0.3 7.6 0.4 25.6 2.4 207 18 700.3 0.3 350.15 0.17 3.3 0.3 -0.026 0.011 0.0 0.0 0.0 0.0 1.7196 0.0 1.7196 0.0
691.0 1.2 7.6 0.4 5.8 1.6 47 12 691.0 1.2 345.5 0.6 3.3 0.3 -0.026 0.011 0.0 0.0 0.0 0.0 1.7196 0.0 1.7196 0.0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
459.2 0.3 7.2 0.4 33 3 252 22 459.2 0.3 229.60 0.17 2.3 0.3 -0.017 0.019 0.0 0.0 0.0 0.0 1.6448 0.0 1.6448 0.0
451.7 0.9 7.2 0.4 9 3 68 18 451.7 0.9 225.9 0.5 2.3 0.3 -0.017 0.019 0.0 0.0 0.0 0.0 1.6448 0.0 1.6448 0.0
