 "Unnamed: 0" PEAK_POSITION PEAK_ENERGY CROSS_SECTION ERROR
0 0 1867.86 0.0 1.9449322168614045 0.08927699779675394
1 1 1706.9 109.41887311 0.038929435981500934 0.003924063336830134
2 2 1669.54 136.0 2.6489611692827917 0.1207298962341238
3 3 0.0 227.0 0.0 
4 4 1448.92 292.0 0.21312216647591126 0.011959489388065691
5 5 1388.2 338.0 0.03497051028855298 0.0036492089006309246
6 6 1287.8 412.446671158 0.01275653834424423 0.002485340958433764
7 7 1270.08 426.0 0.2705265890246906 0.01480383145456652
8 8 1248.37 442.0 0.35696313332288304 0.018631087629331092
9 9 1176.09 498.0 0.41238809302528245 0.020991559751021578
10 10 1145.01 522.0 0.20036562813027578 0.011652389701699463
11 11 0.0 568.0 0.0 
12 12 1011.9 627.208191144 0.04068895851188804 0.00415611244559496
13 13 996.2 639.793790103 0.02925206206521793 0.003753102803757711
14 14 965.4 665.0 0.6059355713509429 0.029791059354309164
15 15 933.7 690.0 0.09545409726555683 0.00730676299979622
16 16 918.2 702.9031268919998 0.009677373916320614 0.0031092672481335664
17 17 887.0 728.41824505 0.005498507907003767 0.0017765301572225884
18 18 825.9 779.0 0.13064454787029067 0.00816405935725291
19 19 776.7 820.0 0.11106985972135579 0.007238974123744495
20 20 725.1 863.0 0.02287379289315222 0.002829589263807963
21 21 669.2 910.853193789 0.009897314232595501 0.002028084397562224
22 22 598.3 971.871297768 0.005058627274435193 0.0015560256345446707
23 23 569.7 996.711759271 0.023313673525701992 0.0028367215921203627
24 24 552.3 1011.88824244 0.008137791702358808 0.002012462054606042
25 25 484.8 1071.21900622 0.03914937629786984 0.00452898172893479
26 26 471.8 1082.72902947 0.09523415694918794 0.007123310406679755
27 27 446.2 1105.47363202 0.02617289763736952 0.003293004491589342
28 28 414.4 1133.87208655 0.03167140554433569 0.0033877057077688587
29 29 317.3 1221.58256774 0.09567403758173772 0.006787578461187566
30 30 293.0 1243.76775064 0.025733017004819742 0.003493035856459225
31 31 277.0 1258.42663921 0.09963296327487367 0.007069623450103448
32 32 253.4 1280.12294103 0.16121625183315796 0.009758911272169683
33 33 215.5 1315.15139171 0.03189134586051657 0.0035926587891227726
34 34 186.7 1341.92232892 0.03453062965600321 0.004043739816474808
35 35 171.8 1355.0 0.14406090716334075 0.009053437282574588
36 36 112.0 1411.97528614 0.0037389853767670744 0.0019864747253214425
37 37 45.3 1476.0 0.1788114771357129 0.014305899907977456
38 38 36.2 1483.96849479 0.1238263980656752 0.012898906928707472
