 POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS EASSIGN sEASSIGN
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3678.0 26.0
1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3633.0 25.0
2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3590.0 24.0
3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3550.0 24.0
4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3503.0 23.0
5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3431.0 22.0
6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3368.0 21.0
7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3308.0 21.0
8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3249.0 20.0
9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3195.0 19.0
10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3055.0 17.0
11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2976.0 15.0
12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2915.0 15.0
13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2818.0 14.0
14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2754.0 14.0
15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2668.0 13.0
16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2602.0 12.0
17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2710.0 14.0
18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2531.0 11.0
19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2421.0 11.0
20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2369.0 9.0
21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2322.0 9.0
22 837.5828396170032 0.9989341106331968 9.0 1.92405948422472 0.0 0.0 50.7108913138032 12.2347011727655 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 2284.468519068823 15.586647648044849
23 895.34802551411 1.01226124167324 9.0 1.92405948422472 0.0 0.0 51.2169488773625 10.6545565822796 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 2189.196594536161 13.998725631411919
24 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2169.0 8.0
25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2132.0 7.0
26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2077.0 7.0
27 994.040253286165 1.00133333064792 9.0 3.3600620648611 0.0 0.0 47.68656176117521 12.021364221712199 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 2028.4627770621792 11.478883941261618
28 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1983.0 6.0
29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1932.0 6.0
30 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1880.0 6.0
31 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1837.0 6.0
32 1153.3276782848 1.00075561304146 9.0 1.67425861122321 0.0 0.0 48.434432952640286 8.68230719697087 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 1774.4675278480022 7.954632533788334
33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1654.0 4.0
34 1251.78825474493 1.02493840384398 9.0 1.67425861122321 0.0 0.0 76.15579044582859 10.2001080323037 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 1620.8161240343657 6.129296056624719
35 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1576.0 3.0
36 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1533.0 3.0
37 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1482.0 3.0
38 1412.23447390113 0.9967512455582728 9.0 1.28447107162646 0.0 0.0 105.766260173472 10.759515532535698 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 1375.9190796394041 3.733172539982898
39 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1322.0 2.0
40 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1300.0 2.0
41 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1257.6 2.0
42 1521.54561894917 1.00909178080853 9.0 1.28447107162646 0.0 0.0 53.00185140754751 8.21675054489427 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 1212.9657437407673 2.609470946696358
43 1555.4501837491 1.00025281523232 9.0 1.7393426169918302 0.0 0.0 36.03130899519329 7.9469776718618 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 1163.064383562667 2.3445241159741155
44 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1126.3 0.6
45 1603.2685678512805 0.996102644313357 9.0 1.7393426169918302 0.0 0.0 71.67172792879391 11.2052795943709 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 1092.1 0.4
46 1625.3059170834101 1.00026457572945 9.0 1.7393426169918302 0.0 0.0 84.3787596587608 11.901474726884198 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 1061.206536200781 1.9655914992459336
47 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 891.5 1.5
48 1804.18417338603 0.992564448395643 6.52270139808662 1.50935005804579 0.0 0.0 121.115871693174 11.903143096082802 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 806.2562028503471 1.7299765104725948
49 1847.15103450612 1.0 4.60760056254589 0.5787866384738499 0.0 0.0 127.697699826265 26.490129641038298 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 749.4 0.5
50 1882.98712200962 1.0 4.60760056254589 0.5787866384738499 0.0 0.0 47.9692837665182 8.05992658472178 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 696.6218238489669 1.7621418189223745
51 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 664.5 1.6
52 1950.35562093775 1.0 4.60760056254589 0.5787866384738499 0.0 0.0 83.30892766880159 9.97001561610741 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 604.1958928854565 1.754948260058508
53 2035.0 2.0 4.2 0.4 0.0 0.0 147.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 50.0 0.0 9.0 0.0 0.0 0.0 485.74652932460594 1.6753150648580428
54 2047.1 0.5 4.2 0.4 0.0 0.0 643.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 50 0.0 9.0 0.0 0.0 0.0 469.68669675375804 1.6580529401755608
55 2088.0 3.0 6.0 1.0 0.0 0.0 35.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 50.0 0.0 8.0 0.0 0.0 0.0 417.2 0.6
56 2106.0 2.0 6.0 1.0 0.0 0.0 58.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 50.0 0.0 8.0 0.0 0.0 0.0 395.2436421986131 2.7718089245540973
57 2130.8 0.8 6.0 1.0 0.0 0.0 210.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 50.0 0.0 8.0 0.0 0.0 0.0 360.5 0.2
58 2234.30235242143 1.3673120190467802 4.36277232079834 0.16415793254984098 0.0 0.0 157.852384575632 18.9255147542764 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 229.1 0.2
59 2270.95602946478 0.187314681391626 4.36277232079834 0.16415793254984098 0.0 0.0 3111.25284548105 103.851834860989 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 85.5526818079108 0.0 9.379659267374919 0.0 0.0 0.0 181.0 0.5
