 "Unnamed: 0" PEAK_POSITION PEAK_ENERGY CROSS_SECTION ERROR
0 0 1862.14 0.0 3.78138928553 0.05758872571269999
1 1 1705.0 107.274533153 0.0259554820114 0.00648887050284
2 2 1665.95 136.0 2.006683203 0.0413665494556
3 3 1534.7 227.30412343400002 0.0527220728356 0.00811108812855
4 4 1445.4 292.0 0.16465508900999998 0.012166632192799998
5 5 1379.8 338.0 0.0324443525142 0.00567776168999
6 6 1300.3 400.332882876 0.112744124987 0.0105444145671
7 7 1267.72 426.0 0.553176210367 0.0235221555728
8 8 1245.5 442.0 0.259554820114 0.01703328507
9 9 1174.2 498.0 0.114366342613 0.0105444145671
10 10 1144.0 522.0 0.194666115085 0.0137888498185
11 11 1084.3 567.799760927 0.0640775962156 0.00811108812855
12 12 1009.9 627.26403999 0.0137888498185 0.0048666528771300005
13 13 995.7 638.717128244 0.0162221762571 0.0048666528771300005
14 14 964.6 665.0 0.596164977449 0.0235221555728
15 15 935.1 690.0 0.060022052151300014 0.0145999586314
16 16 927.1 694.515119027 0.0267665908242 0.0129777410057
17 17 887.0 727.491087042 0.00405554406428 0.00405554406428
18 18 825.0 779.0 0.10219971042 0.00973330575426
19 19 777.0 820.0 0.122477430741 0.01135552338
20 20 715.1 863.0 0.0218999379471 0.00567776168999
21 21 0.0 910.0 0.0 0.0
22 22 0.0 972.0 0.0 0.0
23 23 0.0 997.0 0.0 0.0
24 24 0.0 1012.0 0.0 0.0
25 25 477.5 1079.419362 0.031633243701400006 0.0129777410057
26 26 485.8 1072.0117296 0.061644269777 0.0137888498185
27 27 448.4 1105.48042569 0.0348776789528 0.0072999793157
28 28 422.1 1129.15401669 0.024333264385700003 0.00648887050284
29 29 320.5 1229.0 0.139510715811 0.0137888498185
30 30 306.9 1234.19363268 0.0308221348885 0.008922196941409999
31 31 279.8 1259.22140025 0.117610777864 0.012166632192799998
32 32 257.7 1279.72114042 0.140321824624 0.012166632192799998
33 33 207.0 1327.05424987 0.0381221142042 0.00811108812855
34 34 187.6 1345.27805029 0.0267665908242 0.00811108812855
35 35 175.5 1355.0 0.128155192431 0.0129777410057
36 36 125.9 1403.64978454 0.078677554847 0.0105444145671
37 37 48.7 1476.0 0.159788436132 0.0145999586314
38 38 0.0 1484.0 0.0 0.0
